date,Brazil,China,India,Russia,SouthAfrica,UnitedStates
20000101,48.95297,31.46850,13.24989,177.75335,101.71578,350.20416
20010101,47.78927,32.42302,13.52257,175.66948,101.96284,337.46887
20020101,47.73233,34.03191,13.13655,183.21087,98.439290,339.48746
20030101,47.78749,38.94003,13.35042,189.40043,104.71121,337.61021
20040101,48.93927,44.86047,14.26428,195.45684,110.88106,342.07310
20050101,50.25623,49.46962,14.96965,194.62656,107.83603,339.34309
20060101,51.51575,53.96891,15.91784,193.99994,110.32818,333.89900
20070101,53.22689,57.12489,16.73585,200.79186,112.14774,336.34413
20080101,52.68423,59.98329,17.24824,208.07238,118.30442,326.51774
20090101,53.73497,65.73054,18.71032,188.46397,114.43677,308.36043
20100101,57.69613,71.97437,19.36064,208.55993,114.05031,316.86657